NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
696385775,ALGAR,RUA BEIRA ALTA 0,MG,3122306,Divinópolis,20S0851,44W5146,,SIM,SIM,
696402491,ALGAR,RUA CHUMBO 0,MG,3122306,Divinópolis,20S0847,44W5225,,SIM,SIM,
696506351,ALGAR,RUA MOACIR JOSE LEITE 100,MG,3122306,Divinópolis,20S0739,44W5253,,SIM,SIM,
696507145,ALGAR,RUA ANTONIO GONTIJO DA FONSECA 0,MG,3122306,Divinópolis,20S0638,44W5314,,SIM,SIM,
696528339,ALGAR,RUA JOÃO PEREIRA NETO 0,MG,3122306,Divinópolis,20S0743,44W5428,,SIM,SIM,
696528380,ALGAR,RUA ESPIRITO SANTO 580,MG,3122306,Divinópolis,20S0834,44W5352,,SIM,SIM,
696619610,ALGAR,RUA CINCO 0,MG,3122306,Divinópolis,20S0614,44W5155,,SIM,SIM,
697388956,ALGAR,RUA GRANDE 0,MG,3122306,Divinópolis,20S0648,44W5824,,SIM,SIM,
697652475,CLARO,R ANTONIO GONTIJO DA FONSECA S/N,MG,3122306,Divinópolis,20S0638,44W5314,SIM,SIM,SIM,
698669509,ALGAR,RUA TAMAREIRA 0,MG,3122306,Divinópolis,20S1105,44W5534,,SIM,SIM,
699047269,VIVO,RUA FRANCISCO CANDIDO DE JESUS 370 S/N LOTES 90 E 132 QUADRA 027,MG,3122306,Divinópolis,20S1040,44W5355,SIM,SIM,SIM,
699069882,VIVO,RUA MANAUS S/N,MG,3122306,Divinópolis,20S0959,44W5244,SIM,SIM,SIM,
699091144,ALGAR,RUA ANGICO 0,MG,3122306,Divinópolis,20S1139,44W5625,,SIM,SIM,
699091977,ALGAR,AV VILLAGE DOS PASSAROS 0,MG,3122306,Divinópolis,20S1103,44W5240,,SIM,SIM,
699097916,VIVO,RUA FERNÃO DIAS 531,MG,3122306,Divinópolis,20S0857,44W5257,SIM,SIM,SIM,
699098858,ALGAR,RUA ARMANDO NOGUEIRA 98,MG,3122306,Divinópolis,20S0650,44W5118,,SIM,SIM,
699128331,ALGAR,ROD MG 050 0,MG,3122306,Divinópolis,20S0930,44W5518,,SIM,SIM,
699189551,ALGAR,RUA INTERLAGOS 1636,MG,3122306,Divinópolis,20S0749,44W5148,,SIM,SIM,
699858372,ALGAR,R VALDECIR EXPEDITO DUARTE 535,MG,3122306,Divinópolis,20S0802,44W5041,,SIM,,
699858585,ALGAR,RUA MANAUS 511,MG,3122306,Divinópolis,20S0959,44W5244,,SIM,SIM,
